,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
Bangladesh,156379,156721.2199,157064.1888,157407.9082,157752.3798,158097.6052,158389.6373,158682.2088,158975.3208,159268.9742,159563.17,159800.8483,160038.8805,160277.2674,160516.0093,160755.1069,160937.3112,161119.722,161302.3396,161485.1641,161668.1959,161798.9355,161929.7808,162060.732,162191.7891,162322.9521,162404.3565,162485.8018,162567.2879,162648.8148,162730.3827,162764.2165,162798.0574,162831.9053,162865.7603,162899.6223
Barbados,276,276.1048004,276.2096406,276.3145205,276.4194404,276.5244,276.5885239,276.6526627,276.7168164,276.7809849,276.8451683,276.849044,276.8529198,276.8567956,276.8606715,276.8645475,276.7947424,276.724955,276.6551851,276.5854328,276.5156981,276.3706518,276.2256816,276.0807874,275.9359692,275.791227,275.5868388,275.382602,275.1785166,274.9745825,274.7707995,274.5324347,274.2942768,274.0563255,273.8185806,273.5810419
Belarus,9472,9465.550262,9459.104917,9452.66396,9446.227388,9439.7952,9432.17443,9424.559813,9416.951343,9409.349016,9401.752825,9392.804141,9383.863975,9374.932318,9366.009162,9357.094499,9347.455568,9337.826566,9328.207483,9318.598309,9308.999034,9299.428341,9289.867489,9280.316466,9270.775263,9261.243869,9251.629278,9242.024669,9232.43003,9222.845353,9213.270625,9203.169181,9193.078812,9182.999506,9172.931251,9162.874035
Belize,338,339.2341189,340.4727439,341.7158914,342.9635779,344.21582,345.3347954,346.4574083,347.5836706,348.7135941,349.8471908,350.8268584,351.8092694,352.7944314,353.7823521,354.7730393,355.6169226,356.4628133,357.3107161,358.1606358,359.0125771,359.7334457,360.4557618,361.1795283,361.904748,362.6314239,363.2450915,363.8597977,364.4755441,365.0923325,365.7101646,366.2163671,366.7232702,367.2308749,367.7391823,368.2481932
Benin,9863,9913.337193,9963.931289,10014.7836,10065.89544,10117.26814,10166.38379,10215.73788,10265.33156,10315.16601,10365.24238,10412.97831,10460.93409,10509.11072,10557.50922,10606.13062,10652.24633,10698.56256,10745.08017,10791.80005,10838.72306,10882.88716,10927.23121,10971.75595,11016.46211,11061.35043,11103.22025,11145.24855,11187.43594,11229.78301,11272.29038,11311.75912,11351.36605,11391.11166,11430.99644,11471.02086
Bolivia (Plurinational State of),10572,10604.13325,10636.36416,10668.69304,10701.12018,10733.64588,10765.10374,10796.65379,10828.2963,10860.03156,10891.85982,10922.44617,10953.1184,10983.87677,11014.72152,11045.65288,11074.31085,11103.04317,11131.85004,11160.73165,11189.68819,11216.10511,11242.58439,11269.12618,11295.73063,11322.3979,11346.43497,11370.52308,11394.66232,11418.85281,11443.09466,11464.6181,11486.18203,11507.78651,11529.43164,11551.11747
Botswana,2097,2100.532012,2104.069973,2107.613893,2111.163782,2114.71965,2117.600497,2120.485269,2123.373971,2126.266608,2129.163185,2131.411088,2133.661365,2135.914017,2138.169047,2140.426458,2142.212871,2144.000774,2145.790169,2147.581058,2149.373441,2150.8759,2152.37941,2153.883971,2155.389583,2156.896248,2158.188836,2159.482198,2160.776335,2162.071248,2163.366937,2164.408676,2165.450917,2166.493659,2167.536904,2168.580651
Brazil,201700,201977.5809,202255.5439,202533.8893,202812.6179,203091.73,203312.2145,203532.9385,203753.902,203975.1054,204196.549,204355.5744,204514.7237,204673.9969,204833.3942,204992.9156,205092.8546,205192.8424,205292.8789,205392.9642,205493.0983,205538.2869,205583.4854,205628.6939,205673.9123,205719.1407,205713.7917,205708.4429,205703.0942,205697.7456,205692.3972,205639.3011,205586.2188,205533.1502,205480.0952,205427.054
Brunei Darussalam,425,426.2086064,427.4206498,428.63614,429.8550868,431.0775,432.1353327,433.1957612,434.2587919,435.3244312,436.3926856,437.3182674,438.2458123,439.1753246,440.1068083,441.0402677,441.8435578,442.648311,443.4545299,444.2622173,445.0713757,445.7564537,446.4425861,447.1297747,447.818021,448.5073267,449.0772747,449.6479469,450.2193443,450.7914679,451.3643184,451.8273699,452.2908964,452.7548984,453.2193765,453.684331
Bulgaria,7298,7287.680678,7277.375948,7267.085789,7256.81018,7246.5491,7235.223631,7223.915863,7212.625767,7201.353316,7190.098483,7177.920413,7165.762971,7153.626119,7141.509824,7129.414051,7117.223915,7105.054621,7092.906135,7080.778421,7068.671444,7056.940992,7045.230008,7033.538457,7021.866309,7010.213531,6998.707111,6987.219577,6975.750898,6964.301044,6952.869984,6940.953706,6929.057851,6917.182384,6905.32727,6893.492474
Burkina Faso,18557,18664.9992,18773.62694,18882.88687,18992.78269,19103.31808,19209.0435,19315.35405,19422.25296,19529.74349,19637.82892,19741.55411,19845.82718,19950.651,20056.02849,20161.96257,20263.87408,20366.30072,20469.24508,20572.70979,20676.69748,20776.50744,20876.7992,20977.57509,21078.83744,21180.5886,21277.46788,21374.7903,21472.55786,21570.7726,21669.43658,21762.42048,21855.80337,21949.58698,22043.77301,22138.36319
Burundi,9070,9100.898855,9131.902973,9163.012713,9194.228435,9225.5505,9251.421051,9277.364149,9303.379998,9329.4688,9355.630762,9377.402658,9399.22522,9421.098567,9443.022816,9464.998086,9484.622664,9504.287932,9523.993973,9543.740873,9563.528716,9582.010391,9600.527782,9619.080959,9637.66999,9656.294944,9673.077088,9689.888399,9706.728926,9723.598722,9740.497836,9754.580777,9768.684078,9782.807771,9796.951883,9811.116445
Cambodia,14834,14867.58014,14901.23629,14934.96864,14968.77734,15002.66258,15031.80434,15061.00271,15090.25779,15119.5697,15148.93854,15172.91901,15196.93745,15220.9939,15245.08844,15269.22111,15288.22971,15307.26198,15326.31794,15345.39762,15364.50105,15379.65127,15394.81643,15409.99654,15425.19162,15440.40169,15452.18017,15463.96764,15475.7641,15487.56956,15499.38402,15507.59,15515.80033,15524.015,15532.23402,15540.45739
Cameroon,21363,21448.0288,21533.39602,21619.10302,21705.15116,21791.54178,21871.10792,21950.96457,22031.11279,22111.55366,22192.28823,22268.02226,22344.01475,22420.26657,22496.7786,22573.55175,22646.22067,22719.12353,22792.26109,22865.63408,22939.24328,23008.19578,23077.35554,23146.72319,23216.29935,23286.08464,23350.463,23415.01935,23479.75417,23544.66796,23609.76122,23669.0537,23728.49508,23788.08574,23847.82606,23907.7164
Canada,35312,35371.54674,35431.19389,35490.94162,35550.79011,35610.73952,35664.0669,35717.47413,35770.96134,35824.52865,35878.17617,35924.34007,35970.56337,36016.84614,36063.18846,36109.59041,36148.14525,36186.74126,36225.37848,36264.05695,36302.77672,36336.11399,36369.48187,36402.8804,36436.3096,36469.76949,36500.35276,36530.96168,36561.59626,36592.25654,36622.94252,36652.41315,36681.90749,36711.42556,36740.96738,36770.53298
Cape Verde,513,513.9363913,514.8744919,515.8143047,516.7558331,517.69908,518.5628213,519.4280036,520.2946295,521.1627012,522.0322213,522.7745252,523.5178846,524.2623011,525.007776,525.754311,526.3502156,526.9467955,527.5440517,528.1419847,528.7405955,529.1850473,529.6298726,530.0750719,530.5206454,530.9665934,531.2699595,531.5734988,531.8772116,532.1810979,532.4851579,532.6565078,532.8279128,532.999373,533.1708884,533.342459
Central African Republic,4761,4779.124672,4797.318343,4815.581275,4833.913733,4852.31598,4869.803385,4887.353814,4904.967493,4922.64465,4940.385515,4956.93327,4973.536452,4990.195245,5006.909837,5023.680415,5039.217703,5054.803045,5070.436589,5086.118485,5101.848882,5116.468385,5131.12978,5145.833188,5160.57873,5175.366524,5189.050099,5202.769852,5216.525881,5230.31828,5244.147146,5256.72506,5269.333142,5281.971464,5294.640099,5307.339119
Chad,12459,12520.31475,12581.93126,12643.85099,12706.07546,12768.60615,12831.56978,12894.84388,12958.43,13022.32967,13086.54444,13147.68658,13209.11439,13270.82919,13332.83233,13395.12516,13453.5518,13512.23327,13571.17071,13630.36521,13689.81791,13745.03351,13800.47181,13856.1337,13912.0201,13968.13191,14019.95877,14071.97792,14124.19008,14176.59597,14229.1963,14277.64296,14326.25457,14375.03169,14423.97489,14473.08472
Chile,17725,17751.08521,17777.20881,17803.37085,17829.5714,17855.8105,17877.07961,17898.37405,17919.69386,17941.03906,17962.40969,17978.51104,17994.62683,18010.75706,18026.90175,18043.06091,18054.23376,18065.41353,18076.60022,18087.79384,18098.9944,18105.61379,18112.23559,18118.85983,18125.48648,18132.11556,18134.58085,18137.04649,18139.51245,18141.97876,18144.4454,18143.2477,18142.05009,18140.85256,18139.6551,18138.45773
China,1364775,1365489.394,1366204.162,1366919.303,1367634.82,1368350.711,1368643.412,1368936.177,1369229.004,1369521.893,1369814.846,1369729.907,1369644.973,1369560.044,1369475.121,1369390.203,1368935.263,1368480.475,1368025.837,1367571.351,1367117.015,1366290.277,1365464.039,1364638.301,1363813.062,1362988.322,1361805.924,1360624.553,1359444.206,1358264.883,1357086.583,1355587.766,1354090.605,1352595.097,1351101.242,1349609.036
Colombia,48770,48877.88854,48986.01576,49094.38217,49202.9883,49311.8347,49404.09644,49496.5308,49589.1381,49681.91867,49774.87283,49851.88476,49929.01584,50006.26625,50083.63619,50161.12584,50223.27178,50285.49471,50347.79474,50410.17194,50472.62643,50520.48458,50568.38811,50616.33707,50664.33148,50712.37141,50746.80902,50781.27001,50815.75441,50850.26222,50884.79347,50907.1631,50929.54257,50951.93187,50974.33102,50996.74002
Comoros,813,816.6882968,820.3933261,824.1151639,827.8538863,831.60957,835.215621,838.8373087,842.4747009,846.1278656,849.7968713,853.4467047,857.112214,860.7934664,864.4905296,868.2034715,871.8589516,875.5298226,879.2161495,882.9179972,886.6354312,890.1556818,893.689909,897.2381682,900.8005153,904.3770062,907.6701901,910.9753657,914.2925767,917.621867,920.9632805,924.0425822,927.1321798,930.2321077,933.3424004,936.4630925
Congo,4413,4434.544694,4456.194571,4477.950145,4499.811932,4521.78045,4542.294187,4562.900988,4583.601275,4604.395472,4625.284005,4644.603631,4664.003954,4683.485312,4703.048042,4722.692486,4740.792256,4758.961394,4777.200166,4795.508838,4813.887678,4830.733503,4847.638279,4864.602212,4881.62551,4898.708378,4914.342914,4930.027347,4945.761839,4961.546548,4977.381635,4991.792086,5006.244259,5020.738273,5035.27425,5049.852312
