,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
India,1291779,1294782.596,1297793.175,1300810.754,1303835.35,1306866.979,1309504.027,1312146.397,1314794.099,1317447.143,1320105.541,1322384.085,1324666.561,1326952.977,1329243.34,1331537.655,1333465.458,1335396.051,1337329.44,1339265.628,1341204.619,1342780.848,1344358.931,1345938.867,1347520.661,1349104.314,1350332.459,1351561.722,1352792.104,1354023.606,1355256.229,1356144.113,1357032.579,1357921.627,1358811.257,1359701.47
Indonesia,249563,249976.4018,250390.4885,250805.261,251220.7207,251636.8685,251985.6754,252334.9658,252684.7404,253034.9998,253385.7448,253671.9302,253958.4389,254245.2712,254532.4275,254819.9081,255042.2324,255264.7507,255487.4631,255710.3699,255933.4711,256089.4004,256245.4247,256401.544,256557.7585,256714.0682,256802.8298,256891.6222,256980.4452,257069.299,257158.1835,257183.3801,257208.5791,257233.7806,257258.9846,257284.191
Iran (Islamic Republic of),77176,77297.2478,77418.68609,77540.31517,77662.13533,77784.14688,77863.48029,77942.89461,78022.38992,78101.96632,78181.62387,78230.03648,78278.47907,78326.95166,78375.45427,78423.9869,78456.271,78488.56838,78520.87905,78553.20303,78585.54032,78606.74696,78627.95934,78649.17743,78670.40125,78691.6308,78695.09292,78698.5552,78702.01764,78705.48022,78708.94296,78685.31609,78661.69632,78638.08364,78614.47805,78590.87954
Iraq,35872,36075.65153,36280.45922,36486.42965,36693.5694,36901.88512,37099.97657,37299.13138,37499.35527,37700.65398,37903.03326,38087.03868,38271.93738,38457.73369,38644.43197,38832.03661,39008.6616,39186.08995,39364.32533,39543.3714,39723.23185,39891.18544,40059.84916,40229.22601,40399.319,40570.13115,40729.0521,40888.59556,41048.76399,41209.55983,41370.98554,41520.57301,41670.70135,41821.37251,41972.58847,42124.35119
Ireland,4682,4691.085209,4700.188047,4709.308548,4718.446748,4727.60268,4735.227308,4742.864232,4750.513473,4758.175051,4765.848986,4772.455176,4779.070524,4785.695041,4792.328741,4798.971636,4805.13685,4811.309985,4817.49105,4823.680056,4829.877013,4835.899323,4841.929141,4847.966478,4854.011343,4860.063745,4865.833505,4871.610115,4877.393582,4883.183916,4888.981124,4894.162229,4899.348825,4904.540917,4909.738511,4914.941614
Israel,7942,7964.867962,7987.801769,8010.80161,8033.867677,8057.00016,8077.776477,8098.60637,8119.489976,8140.427434,8161.418882,8180.848267,8200.323906,8219.84591,8239.414388,8259.029452,8277.611058,8296.234471,8314.899783,8333.607089,8352.356485,8370.088261,8387.857681,8405.664825,8423.509773,8441.392605,8457.92351,8474.486789,8491.082503,8507.710717,8524.371494,8539.457288,8554.569779,8569.709016,8584.875045,8600.067913
Italy,61177,61178.95754,61180.91514,61182.8728,61184.83053,61186.78832,61179.68901,61172.59051,61165.49285,61158.396,61151.29998,61140.65595,61130.01377,61119.37345,61108.73497,61098.09835,61085.50695,61072.91815,61060.33194,61047.74833,61035.16731,61020.87839,61006.59282,60992.31059,60978.03171,60963.75616,60945.82227,60927.89366,60909.97031,60892.05224,60874.13944,60850.25805,60826.38603,60802.52337,60778.67007,60754.82613
Jamaica,2780,2781.510677,2783.022175,2784.534495,2786.047636,2787.5616,2788.358387,2789.155402,2789.952644,2790.750115,2791.547813,2791.324454,2791.101112,2790.877788,2790.654482,2790.431194,2789.107274,2787.783982,2786.461318,2785.139281,2783.817872,2781.475527,2779.135152,2776.796747,2774.460309,2772.125837,2768.824699,2765.527491,2762.234211,2758.944851,2755.659409,2751.397017,2747.141218,2742.892001,2738.649357,2734.413275
Japan,126226,126174.9634,126123.9475,126072.9522,126021.9775,125971.0235,125888.2779,125805.5866,125722.9496,125640.367,125557.8385,125452.1923,125346.635,125241.1665,125135.7867,125030.4956,124909.4821,124788.5858,124667.8064,124547.144,124426.5983,124296.9246,124167.3861,124037.9826,123908.7139,123779.58,123648.8404,123518.239,123387.7754,123257.4497,123127.2616,123000.9203,122874.7086,122748.6264,122622.6736,122496.85
Jordan,6684,6705.358802,6726.785857,6748.281382,6769.845597,6791.47872,6810.590735,6829.756533,6848.976266,6868.250086,6887.578144,6904.684357,6921.833055,6939.024344,6956.25833,6973.535119,6988.54713,7003.591457,7018.66817,7033.777339,7048.919034,7061.505667,7074.114774,7086.746397,7099.400575,7112.077348,7122.105506,7132.147804,7142.204261,7152.274898,7162.359735,7169.935792,7177.519863,7185.111956,7192.712079,7200.320242
Kazakhstan,16721,16751.62084,16782.29776,16813.03085,16843.82023,16874.66599,16899.16427,16923.69811,16948.26757,16972.87271,16997.51356,17017.11741,17036.74388,17056.39298,17076.06474,17095.75919,17115.40828,17135.07996,17154.77425,17174.49117,17194.23076,17215.87532,17237.54712,17259.24621,17280.97261,17302.72636,17323.85324,17345.00592,17366.18442,17387.38879,17408.61904,17426.51309,17444.42554,17462.3564,17480.30569,17498.27343
Kenya,45121,45346.50545,45573.13794,45800.90309,46029.80656,46259.85404,46473.35265,46687.83659,46903.31042,47119.77871,47337.24604,47543.90693,47751.47005,47959.93932,48169.31871,48379.6122,48581.88222,48784.99791,48988.9628,49193.78045,49399.45442,49595.7819,49792.88964,49990.78074,50189.45832,50388.9255,50575.88675,50763.54171,50951.89293,51140.943,51330.69451,51505.96837,51681.84071,51858.31359,52035.38905,52213.06915
"Korea, Dem. Rep.",24752,24771.72065,24791.45701,24811.20909,24830.97691,24850.76048,24868.97422,24887.20131,24905.44176,24923.69558,24941.96277,24955.56624,24969.17712,24982.79543,24996.42116,25010.05433,25017.65277,25025.25351,25032.85657,25040.46194,25048.06961,25050.57392,25053.07847,25055.58328,25058.08834,25060.59365,25060.14254,25059.69144,25059.24035,25058.78927,25058.33819,25056.43347,25054.52889,25052.62446,25050.72017,25048.81602
Kuwait,3023,3024.684955,3026.370848,3028.057682,3029.745456,3031.43417,3032.452048,3033.470268,3034.48883,3035.507734,3036.526979,3036.782005,3037.037052,3037.29212,3037.54721,3037.802321,3037.109386,3036.416609,3035.72399,3035.031529,3034.339226,3032.63809,3030.937907,3029.238678,3027.540401,3025.843076,3023.272798,3020.704704,3018.138791,3015.575057,3013.013502,3009.800811,3006.591547,3003.385704,3000.18328,2996.98427
Kyrgyzstan,5562,5582.954861,5603.988669,5625.101723,5646.29432,5667.56676,5686.975147,5706.449998,5725.99154,5745.600001,5765.275611,5783.846607,5802.477424,5821.168255,5839.919291,5858.730729,5876.410805,5894.144235,5911.93118,5929.771802,5947.666261,5963.768386,5979.914104,5996.103533,6012.336792,6028.613999,6042.703176,6056.825281,6070.980389,6085.168579,6099.389927,6111.491794,6123.617672,6135.767609,6147.941652,6160.139851
Lao People's Democratic Republic,6541,6558.25545,6575.556421,6592.903033,6610.295405,6627.73366,6642.356054,6657.010709,6671.697695,6686.417085,6701.168949,6713.906266,6726.667794,6739.453578,6752.263665,6765.098101,6777.083899,6789.090933,6801.11924,6813.168857,6825.239823,6836.518731,6847.816279,6859.132495,6870.467413,6881.821061,6891.866676,6901.926956,6912.00192,6922.091592,6932.195991,6940.646507,6949.107324,6957.578455,6966.059912,6974.551709
Latvia,2218,2223.381308,2228.775673,2234.183125,2239.603697,2245.03742,2249.790203,2254.553049,2259.325977,2264.109009,2268.902168,2272.768789,2276.642,2280.521811,2284.408235,2288.301281,2291.213731,2294.129887,2297.049754,2299.973338,2302.900643,2304.974123,2307.049469,2309.126683,2311.205768,2313.286725,2314.686881,2316.087884,2317.489736,2318.892435,2320.295984,2321.098252,2321.900796,2322.703619,2323.506719,2324.310096
Lebanon,4356,4352.71935,4349.441171,4346.165461,4342.892218,4339.62144,4335.769704,4331.921387,4328.076485,4324.234996,4320.396917,4316.440836,4312.488377,4308.539538,4304.594314,4300.652703,4296.317515,4291.986697,4287.660245,4283.338154,4279.02042,4275.119405,4271.221947,4267.328041,4263.437686,4259.550877,4256.197595,4252.846952,4249.498947,4246.153578,4242.810842,4239.666505,4236.524498,4233.38482,4230.247468,4227.112442
Lesotho,2264,2266.651717,2269.30654,2271.964472,2274.625518,2277.28968,2279.435394,2281.58313,2283.73289,2285.884675,2288.038487,2289.551167,2291.064847,2292.579528,2294.09521,2295.611895,2296.414797,2297.21798,2298.021444,2298.825189,2299.629215,2299.767177,2299.905146,2300.043124,2300.18111,2300.319104,2299.886482,2299.45394,2299.02148,2298.589102,2298.156804,2297.195371,2296.234339,2295.27371,2294.313482,2293.353657
Liberia,4450,4458.219877,4466.454937,4474.705209,4482.970721,4491.2515,4498.057543,4504.8739,4511.700587,4518.537619,4525.385011,4530.99163,4536.605195,4542.225714,4547.853197,4553.487652,4558.204391,4562.926015,4567.65253,4572.383941,4577.120253,4581.177537,4585.238417,4589.302896,4593.370979,4597.442667,4600.977259,4604.514568,4608.054597,4611.597347,4615.142821,4618.055912,4620.970841,4623.88761,4626.80622,4629.726673
Libyan Arab Jamahiriya,6549,6581.460902,6614.082701,6646.866194,6679.812181,6712.92147,6744.812195,6776.854422,6809.04887,6841.396263,6873.897327,6905.189802,6936.624731,6968.202764,6999.924552,7031.790748,7062.157811,7092.656015,7123.285927,7154.048115,7184.943151,7213.950699,7243.075359,7272.317603,7301.677906,7331.156744,7358.48802,7385.92119,7413.456634,7441.094732,7468.835868,7494.530514,7520.313556,7546.185299,7572.146046,7598.196105
Lithuania,3266,3275.048796,3284.122662,3293.221668,3302.345884,3311.49538,3318.427063,3325.373256,3332.333989,3339.309292,3346.299196,3351.868944,3357.447962,3363.036266,3368.633872,3374.240795,3379.293748,3384.354268,3389.422367,3394.498054,3399.581343,3404.185487,3408.795866,3413.412489,3418.035364,3422.6645,3426.5234,3430.38665,3434.254256,3438.126223,3442.002555,3444.751762,3447.503164,3450.256765,3453.012564,3455.770565
Madagascar,23197,23179.20381,23161.42128,23143.65239,23125.89713,23108.15549,23090.89103,23073.63946,23056.40079,23039.175,23021.96207,23003.09922,22984.25183,22965.41987,22946.60335,22927.80225,22907.08396,22886.38439,22865.70353,22845.04136,22824.39786,22803.22321,22782.06821,22760.93284,22739.81707,22718.72089,22699.28588,22679.8675,22660.46573,22641.08055,22621.71196,22603.85789,22586.01791,22568.19201,22550.38018,22532.58241
Malawi,16955,17047.17696,17139.85505,17233.037,17326.72553,17420.9234,17511.7449,17603.03989,17694.81084,17787.06022,17879.79052,17967.50221,18055.64418,18144.21854,18233.22741,18322.67293,18406.26431,18490.23705,18574.59289,18659.33358,18744.46086,18824.1934,18904.26509,18984.67738,19065.43171,19146.52955,19222.66099,19299.09515,19375.83324,19452.87645,19530.226,19602.69025,19675.42337,19748.42635,19821.7002,19895.24593
Malaysia,30252,30449.72711,30648.74656,30849.0668,31050.69633,31253.64372,31448.53346,31644.63848,31841.96636,32040.52473,32240.32125,32433.37179,32627.5783,32822.94768,33019.48691,33217.20299,33411.49615,33606.92577,33803.49849,34001.221,34200.10002,34397.40214,34595.84251,34795.42769,34996.16429,35198.05894,35394.37388,35591.78375,35790.29466,35989.91275,36190.6442,36381.37459,36573.11016,36765.85621,36959.61806,37154.40106
Maldives,334,334.9478411,335.8983719,336.8516003,337.8075337,338.76618,339.6370626,340.5101841,341.3855501,342.2631665,343.143039,343.9279824,344.7147213,345.5032599,346.2936023,347.0857526,347.7688995,348.4533911,349.1392299,349.8264186,350.5149598,351.0914103,351.6688089,352.247157,352.8264563,353.4067082,353.8895542,354.3730599,354.8572262,355.342054,355.8275442,356.2365163,356.6459585,357.0558713,357.4662552,357.8771108
Mali,17307,17345.11483,17383.31361,17421.59651,17459.96372,17498.41542,17528.30542,17558.24647,17588.23867,17618.28209,17648.37684,17670.03114,17691.71201,17713.41948,17735.15358,17756.91436,17772.5484,17788.19621,17803.8578,17819.53317,17835.22235,17847.19154,17859.16877,17871.15403,17883.14734,17895.1487,17903.69441,17912.24421,17920.79809,17929.35605,17937.9181,17941.5401,17945.16283,17948.78629,17952.41048,17956.0354
Malta,421,423.3637456,425.7407627,428.1311257,430.5349097,432.95219,435.2754548,437.6111864,439.9594519,442.3203183,444.6938534,446.9825809,449.2830878,451.5954349,453.9196831,456.2558936,458.4994863,460.7541116,463.0198239,465.2966776,467.5847274,469.7592504,471.9438861,474.1386816,476.3436841,478.558941,480.6406677,482.7314499,484.8313269,486.9403384,489.0585241,491.032985,493.0154172,495.0058531,497.0043249,499.0108651
Mauritania,3788,3789.657692,3791.31611,3792.975254,3794.635124,3796.29572,3797.267074,3798.238678,3799.210529,3800.182629,3801.154979,3801.230999,3801.30702,3801.383043,3801.459068,3801.535094,3800.736436,3799.937946,3799.139624,3798.341469,3797.543482,3796.084104,3794.625287,3793.167031,3791.709335,3790.252199,3788.537454,3786.823485,3785.110291,3783.397873,3781.686229,3780.051127,3778.416732,3776.783044,3775.150062,3773.517786
Mauritius,1327,1332.532385,1338.087835,1343.666447,1349.268316,1354.89354,1360.174238,1365.475518,1370.797459,1376.140142,1381.503649,1386.561464,1391.637797,1396.732714,1401.846285,1406.978576,1411.818931,1416.675938,1421.549655,1426.440138,1431.347445,1435.935465,1440.538191,1445.155671,1449.787951,1454.43508,1458.729319,1463.036238,1467.355872,1471.688261,1476.033441,1480.017826,1484.012968,1488.018893,1492.035632,1496.063214
Mexico,118785,118882.0076,118979.0943,119076.2604,119173.5058,119270.8307,119341.3555,119411.9221,119482.5304,119553.1805,119623.8723,119667.6226,119711.389,119755.1713,119798.9696,119842.784,119857.8804,119872.9787,119888.0789,119903.181,119918.2849,119904.6111,119890.9389,119877.2682,119863.5991,119849.9315,119811.315,119772.7109,119734.1192,119695.5399,119656.9731,119598.5235,119540.1023,119481.7097,119423.3457,119365.0101
Mongolia,2930,2935.575044,2941.160696,2946.756975,2952.363903,2957.9815,2962.669805,2967.365542,2972.06872,2976.779354,2981.497453,2985.393022,2989.29368,2993.199435,2997.110293,3001.026261,3004.104993,3007.186883,3010.271935,3013.360151,3016.451536,3018.686429,3020.922978,3023.161184,3025.401048,3027.642571,3029.046096,3030.450271,3031.855096,3033.260574,3034.666702,3035.29765,3035.92873,3036.559941,3037.191282,3037.822756
Morocco,33251,33213.74198,33176.52571,33139.35114,33102.21822,33065.12691,33026.81494,32988.54737,32950.32413,32912.14519,32874.01048,32826.46884,32778.99597,32731.59174,32684.25607,32636.98886,32585.12731,32533.34817,32481.65131,32430.0366,32378.50391,32326.20585,32273.99225,32221.863,32169.81794,32117.85695,32063.91074,32010.05515,31956.29001,31902.61517,31849.03049,31790.14725,31731.37287,31672.70716,31614.14991,31555.70092
Mozambique,25590,25659.68486,25729.55949,25799.62439,25869.88009,25940.3271,25998.17485,26056.15161,26114.25765,26172.49327,26230.85876,26277.64481,26324.5143,26371.46738,26418.50422,26465.62495,26508.04547,26550.53398,26593.0906,26635.71542,26678.40857,26721.06412,26763.78787,26806.57993,26849.4404,26892.36941,26932.96173,26973.61532,27014.33028,27055.10669,27095.94465,27130.2155,27164.52971,27198.88731,27233.28837,27267.73294
Myanmar,49513,49599.73941,49686.63078,49773.67437,49860.87044,49948.21927,50022.22271,50096.3358,50170.55869,50244.89155,50319.33454,50378.87221,50438.48033,50498.15898,50557.90824,50617.72819,50659.46954,50701.2453,50743.05552,50784.90021,50826.77941,50854.19628,50881.62793,50909.07439,50936.53564,50964.01171,50979.80077,50995.59472,51011.39356,51027.1973,51043.00593,51047.80307,51052.60067,51057.39871,51062.1972,51066.99615
Namibia,2445,2455.573247,2466.192217,2476.857109,2487.56812,2498.32545,2508.824735,2519.368143,2529.95586,2540.588072,2551.264966,2561.545025,2571.866507,2582.229577,2592.634405,2603.081158,2612.831863,2622.619093,2632.442983,2642.303673,2652.201299,2661.3046,2670.439148,2679.605048,2688.802408,2698.031338,2706.583666,2715.163105,2723.769739,2732.403654,2741.064937,2749.174223,2757.307499,2765.464837,2773.646308,2781.851984
Nepal,32060,32104.95014,32149.9633,32195.03957,32240.17904,32285.3818,32322.42489,32359.51048,32396.63862,32433.80936,32471.02275,32498.44687,32525.89415,32553.36462,32580.85828,32608.37517,32625.44408,32642.52193,32659.60871,32676.70444,32693.80911,32702.37041,32710.93394,32719.49972,32728.06774,32736.638,32738.20921,32739.7805,32741.35185,32742.92329,32744.4948,32740.23691,32735.97957,32731.72278,32727.46655,32723.21088
Netherlands,16806,16854.98876,16904.12032,16953.39509,17002.8135,17052.37596,17098.98045,17145.71231,17192.57189,17239.55954,17286.67561,17328.71923,17370.86511,17413.1135,17455.46464,17497.91878,17534.51104,17571.17983,17607.9253,17644.74761,17681.64693,17713.28971,17744.98912,17776.74525,17808.55822,17840.42812,17867.74722,17895.10816,17922.51099,17949.95578,17977.44261,18000.60968,18023.8066,18047.03342,18070.29017,18093.57689
New Zealand,4555,4568.817772,4582.67746,4596.579193,4610.523097,4624.5093,4637.093285,4649.711513,4662.364077,4675.05107,4687.772587,4698.793167,4709.839655,4720.912113,4732.010602,4743.135181,4752.517854,4761.919086,4771.338916,4780.777379,4790.234514,4798.131482,4806.041468,4813.964494,4821.900582,4829.849753,4836.38134,4842.921759,4849.471024,4856.029145,4862.596135,4867.836432,4873.082376,4878.333974,4883.591231,4888.854154
Nicaragua,6128,6130.742887,6133.487003,6136.232346,6138.978918,6141.72672,6143.972948,6146.219998,6148.46787,6150.716564,6152.96608,6154.601899,6156.238153,6157.874842,6159.511966,6161.149525,6161.913318,6162.677206,6163.441188,6164.205266,6164.969437,6164.685823,6164.402221,6164.118633,6163.835057,6163.551495,6162.367638,6161.184009,6160.000607,6158.817432,6157.634485,6156.057323,6154.480565,6152.90421,6151.32826,6149.752713
Niger,17857,17890.69377,17924.45111,17958.27215,17992.157,18026.10579,18056.36003,18086.66504,18117.02092,18147.42774,18177.8856,18203.26368,18228.67719,18254.12618,18279.6107,18305.1308,18325.62322,18346.13859,18366.67692,18387.23824,18407.82258,18424.69002,18441.57292,18458.47129,18475.38514,18492.31449,18506.45795,18520.61223,18534.77733,18548.95327,18563.14005,18574.74606,18586.35932,18597.97984,18609.60763,18621.24268
Nigeria,175288,175712.5891,176138.2066,176564.8551,176992.5371,177421.255,177779.9667,178139.4036,178499.5673,178860.4592,179222.0807,179517.5383,179813.4829,180109.9154,180406.8366,180704.2473,180938.914,181173.8854,181409.1619,181644.744,181880.632,182055.2655,182230.0666,182405.0356,182580.1726,182755.4778,182871.1981,182986.9917,183102.8587,183218.799,183334.8127,183392.7099,183450.6254,183508.5592,183566.5113,183624.4817
Norway,5022,5056.95527,5092.153843,5127.597414,5163.287687,5199.22638,5234.190866,5269.390485,5304.826821,5340.501463,5376.416015,5411.273388,5446.356755,5481.66758,5517.20734,5552.977517,5587.539465,5622.316529,5657.310046,5692.521364,5727.951839,5762.026286,5796.303435,5830.784492,5865.47067,5900.363189,5933.756736,5967.339276,6001.111879,6035.075621,6069.231583,6101.716515,6134.37532,6167.208927,6200.218273,6233.404298
Pakistan,186427,187355.0686,188287.7574,189225.0892,190167.0873,191113.7748,192020.1888,192930.9017,193845.934,194765.3061,195689.0385,196581.4234,197477.8776,198378.42,199283.0689,200191.8433,201071.7254,201955.4747,202843.1083,203734.6431,204630.0965,205492.8774,206359.2961,207229.3679,208103.1081,208980.5323,209817.6621,210658.1452,211501.9951,212349.2253,213199.8493,214002.2406,214807.6518,215616.0943,216427.5793,217242.1184
Panama,3728,3733.078592,3738.164103,3743.256541,3748.355917,3753.46224,3758.456053,3763.45651,3768.46362,3773.477391,3778.497833,3783.073832,3787.655374,3792.242463,3796.835108,3801.433315,3805.302891,3809.176406,3813.053864,3816.935269,3820.820625,3824.078047,3827.338246,3830.601224,3833.866984,3837.135529,3840.062631,3842.991967,3845.923536,3848.857343,3851.793387,3854.593418,3857.395486,3860.19959,3863.005732,3865.813915
Paraguay,6913,6934.87215,6956.813502,6978.824274,7000.904687,7023.05496,7043.054756,7063.111507,7083.225374,7103.396519,7123.625107,7140.851996,7158.120543,7175.430852,7192.783021,7210.177152,7224.92639,7239.705799,7254.515441,7269.355378,7284.225671,7296.870813,7309.537907,7322.22699,7334.9381,7347.671277,7358.236194,7368.816301,7379.411621,7390.022176,7400.647987,7408.962414,7417.286181,7425.6193,7433.961781,7442.313635
Peru,30417,30495.79656,30574.79724,30654.00258,30733.4131,30813.02934,30884.18616,30955.50731,31026.99315,31098.64409,31170.46048,31233.41933,31296.50534,31359.71878,31423.0599,31486.52895,31540.56298,31594.68973,31648.90938,31703.22207,31757.62796,31802.72258,31847.88123,31893.104,31938.39098,31983.74227,32020.50295,32057.30587,32094.15109,32131.03866,32167.96863,32197.25245,32226.56293,32255.9001,32285.26397,32314.65457
Philippines,99763,100073.3216,100384.6085,100696.8637,101010.0902,101324.291,101606.4234,101889.3415,102173.0473,102457.5431,102742.831,102994.5475,103246.8806,103499.8319,103753.403,104007.5953,104230.05,104452.9804,104676.3877,104900.2729,105124.6368,105320.2801,105516.2875,105712.6596,105909.3972,106106.501,106276.5741,106446.9199,106617.5387,106788.431,106959.5972,107104.2427,107249.0838,107394.1207,107539.3538,107684.7833
Poland,38345,38425.9489,38507.06869,38588.35973,38669.82238,38751.457,38826.80625,38902.30201,38977.94457,39053.73421,39129.67122,39194.02317,39258.48094,39323.04473,39387.71469,39452.49101,39505.3732,39558.32627,39611.35033,39664.44545,39717.61175,39758.75331,39799.93748,39841.16432,39882.43386,39923.74615,39953.48493,39983.24586,40013.02896,40042.83424,40072.66173,40091.55819,40110.46357,40129.37786,40148.30107,40167.23321
Portugal,10704,10737.54945,10771.20405,10804.96414,10838.83004,10872.80208,10904.49582,10936.28195,10968.16074,11000.13245,11032.19736,11061.78107,11091.44412,11121.18671,11151.00906,11180.91138,11207.9499,11235.05382,11262.22327,11289.45843,11316.75945,11341.07629,11365.44538,11389.86684,11414.34077,11438.86729,11460.60983,11482.39371,11504.21899,11526.08575,11547.99408,11567.23808,11586.51415,11605.82234,11625.16271,11644.53531
Republic of Korea,48955,48955.88116,48956.76233,48957.64352,48958.52473,48959.40595,48951.96186,48944.5189,48937.07707,48929.63637,48922.1968,48901.92622,48881.66404,48861.41025,48841.16486,48820.92785,48786.11775,48751.33246,48716.57198,48681.83628,48647.12535,48604.92378,48562.75883,48520.63045,48478.53862,48436.4833,48394.75609,48353.06483,48311.40948,48269.79002,48228.20642,48190.23932,48152.30211,48114.39476,48076.51725,48038.66957
Republic of Moldova,3475,3473.977749,3472.955798,3471.934148,3470.912799,3469.89175,3467.953386,3466.016105,3464.079906,3462.144788,3460.210752,3457.986439,3455.763556,3453.542101,3451.322075,3449.103476,3446.637291,3444.172871,3441.710212,3439.249314,3436.790176,3433.912204,3431.036641,3428.163486,3425.292738,3422.424393,3418.93325,3415.445668,3411.961643,3408.481173,3405.004253,3400.853661,3396.708129,3392.56765,3388.432218,3384.301827
Romania,21290,21279.08834,21268.18227,21257.2818,21246.38691,21235.4976,21222.91127,21210.33241,21197.761,21185.19704,21172.64053,21157.28929,21141.94918,21126.6202,21111.30233,21095.99557,21078.88006,21061.77844,21044.6907,21027.61682,21010.55679,20992.33005,20974.11912,20955.92399,20937.74465,20919.58108,20900.17357,20880.78406,20861.41255,20842.059,20822.72342,20801.44078,20780.17989,20758.94073,20737.72329,20716.52753
Russian Federation,142400,142351.551,142303.1186,142254.7026,142206.3031,142157.92,142077.0824,141996.2908,141915.5451,141834.8454,141754.1915,141646.8629,141539.6156,141432.4495,141325.3646,141218.3607,141106.6215,140994.9707,140883.4083,140771.9341,140660.5481,140555.1763,140449.8834,140344.6694,140239.5341,140134.4777,140028.6566,139922.9154,139817.2541,139711.6725,139606.1707,139490.3849,139374.6951,139259.1013,139143.6033,139028.2012
Rwanda,11951,12013.84322,12077.01689,12140.52276,12204.36257,12268.53807,12325.40074,12382.52697,12439.91796,12497.57495,12555.49918,12609.15285,12663.03581,12717.14903,12771.49349,12826.07018,12879.1648,12932.4792,12986.0143,13039.77102,13093.75027,13146.94824,13200.36234,13253.99346,13307.84248,13361.91027,13413.38311,13465.05423,13516.9244,13568.99438,13621.26495,13668.71659,13716.33352,13764.11634,13812.06562,13860.18194
Sao Tome and Principe,180,180.646933,181.2961911,181.9477828,182.6017162,183.258,183.861693,184.4673747,185.0750517,185.6847304,186.2964176,186.8740691,187.4535116,188.0347509,188.6177924,189.2026418,189.7391959,190.2772715,190.8168732,191.358005,191.9006714,192.389441,192.8794555,193.370718,193.8632318,194.357,194.7950453,195.2340778,195.6740998,196.1151135,196.5571213,196.9428221,197.3292798,197.7164958,198.1044717,198.4932089
Saudi Arabia,29927,30038.21698,30149.84728,30261.89243,30374.35396,30487.23344,30580.80191,30674.65755,30768.80124,30863.23387,30957.95632,31032.39194,31107.00652,31181.80052,31256.77434,31331.92844,31394.03229,31456.25924,31518.60953,31581.08341,31643.68112,31696.79051,31749.98903,31803.27684,31856.65409,31910.12092,31954.98784,31999.91785,32044.91103,32089.96748,32135.08727,32170.99822,32206.9493,32242.94055,32278.97202,32315.04376
Senegal,13805,13871.69327,13938.70873,14006.04796,14073.71251,14141.70395,14205.6377,14269.8605,14334.37364,14399.17844,14464.27622,14525.88763,14587.76149,14649.89889,14712.30098,14774.96887,14834.27045,14893.81004,14953.58861,15013.6071,15073.86649,15130.21186,15186.76785,15243.53524,15300.51482,15357.7074,15410.29934,15463.07138,15516.02413,15569.15823,15622.47427,15671.06936,15719.8156,15768.71347,15817.76345,15866.96599
Sierra Leone,6384,6408.617632,6433.330193,6458.13805,6483.041569,6508.04112,6531.136359,6554.313557,6577.573004,6600.914992,6624.339815,6646.292628,6668.318192,6690.416747,6712.588537,6734.833803,6755.370643,6775.970106,6796.632385,6817.35767,6838.146153,6856.997272,6875.900358,6894.855555,6913.863008,6932.922859,6949.908284,6966.935322,6984.004076,7001.114647,7018.26714,7033.514603,7048.795192,7064.108979,7079.456035,7094.836434
Singapore,5336,5344.595241,5353.204327,5361.827281,5370.464124,5379.11488,5386.806503,5394.509124,5402.222759,5409.947423,5417.683134,5424.201157,5430.727022,5437.260739,5443.802316,5450.351763,5454.66162,5458.974885,5463.291561,5467.611651,5471.935156,5473.608544,5475.282444,5476.956856,5478.63178,5480.307217,5480.066062,5479.824918,5479.583784,5479.342661,5479.101549,5477.950454,5476.799601,5475.64899,5474.49862,5473.348493
Slovenia,2049,2049.516088,2050.032306,2050.548654,2051.065132,2051.58174,2051.635078,2051.688418,2051.741759,2051.795102,2051.848446,2051.524151,2051.199908,2050.875716,2050.551575,2050.227485,2049.66131,2049.095291,2048.529428,2047.963722,2047.398171,2046.746684,2046.095405,2045.444332,2044.793467,2044.142808,2043.455514,2042.768451,2042.08162,2041.395019,2040.708648,2039.957114,2039.205857,2038.454876,2037.704172,2036.953745
Solomon Islands,595,597.7121616,600.4366859,603.1736293,605.9230484,608.685,611.2645628,613.8550577,616.4565308,619.0690289,621.6925985,624.1572624,626.6316974,629.1159421,631.6100355,634.1140166,636.4518148,638.7982318,641.1532993,643.5170493,645.8895139,648.0720302,650.2619215,652.4592126,654.6639286,656.8760945,658.8830306,660.8960984,662.9153168,664.9407044,666.9722801,668.7977678,670.6282518,672.4637458,674.3042635,676.1498186
Somalia,10323,10381.38342,10440.09704,10499.14272,10558.52234,10618.2378,10679.28741,10740.68803,10802.44167,10864.55037,10927.01616,10989.64886,11052.64056,11115.99333,11179.70924,11243.79035,11307.16159,11370.88999,11434.97757,11499.42635,11564.23838,11627.62861,11691.36632,11755.45342,11819.89181,11884.68342,11947.82958,12011.31124,12075.1302,12139.28824,12203.78717,12266.50135,12329.53781,12392.89821,12456.58421,12520.59749
