"","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","Standard.Deviation"
"Bolivia (Plurinational State of)",10572,10604.1332454993,10636.3641589391,10668.6930371777,10701.1201779761,10733.64588,10765.1037353284,10796.6537864189,10828.2963034761,10860.0315574966,10891.8598202712,10922.4461651646,10953.118402138,10983.8767723919,11014.7215178046,11045.6528809334,11074.3108509978,11103.0431742269,11131.8500435301,11160.7316523175,11189.6881945008,11216.1051085715,11242.584388397,11269.1261812118,11295.7306345985,11322.3978964876,11346.4349720731,11370.5230775736,11394.662321324,11418.8528118891,11443.0946580641,11464.6181009807,11486.1820275783,11507.7865140033,11529.4316365449,11551.1174716363,0.0276558552919891
"Botswana",2097,2100.53201189058,2104.06997280738,2107.61389277046,2111.16378181672,2114.71965,2117.60049728164,2120.48526909344,2123.37397078174,2126.26660770012,2129.1631852095,2131.41108831566,2133.66136468677,2135.91401682846,2138.16904724898,2140.42645845926,2142.21287058928,2144.00077366905,2145.79016894292,2147.5810576563,2149.37344105562,2150.87590049099,2152.37941017863,2153.88397085271,2155.38958324788,2156.89624809931,2158.18883567235,2159.48219786895,2160.77633515331,2162.07124798994,2163.36693684361,2164.40867595412,2165.45091669955,2166.49365932144,2167.53690406146,2168.5806511614,0.0383204627735721
"Brazil",201700,201977.580930251,202255.543869292,202533.889342845,202812.617877357,203091.73,203312.214548442,203532.938463776,203753.902005867,203975.105434865,204196.5490112,204355.574432897,204514.723701372,204673.996913075,204833.394164532,204992.915552344,205092.854602162,205192.842374707,205292.878893732,205392.964183001,205493.098266291,205538.286869297,205583.485409423,205628.693888856,205673.912309781,205719.140674384,205713.791698573,205708.442861842,205703.094164188,205697.745605607,205692.397186097,205639.301142991,205586.218805739,205533.150170802,205480.095234643,205427.053993727,0.00153955382739152
"Brunei Darussalam",425,426.208606403104,427.42064981665,428.636140014738,429.855086799265,431.0775,432.135332671252,433.195761186547,434.258791915896,435.324431244943,436.392685575,437.318267370945,438.24581231084,439.175324558484,440.106808286502,441.040267676374,441.84355780112,442.648311000945,443.454529940625,444.262217289791,445.071375722936,445.756453660199,446.442586106481,447.129774684941,447.818021021233,448.507326743517,449.077274694677,449.647946916429,450.219344329152,450.791467854394,451.364318414873,451.827369876582,452.29089637951,452.754898410999,453.21937645889,453.684331011525,0.0755656475725151
"Bulgaria",7298,7287.68067833594,7277.37594812153,7267.08578872457,7256.81017954203,7246.5491,7235.22363114396,7223.91586260886,7212.62576673127,7201.353315891,7190.098482511,7177.92041341781,7165.76297065779,7153.62611929556,7141.50982445488,7129.41405131861,7117.2239146954,7105.05462122,7092.90613525402,7080.77842122002,7068.67144360138,7056.94099225144,7045.23000757073,7033.53845725433,7021.86630905095,7010.21353076279,6998.7071105726,6987.21957678366,6975.75089839621,6964.3010444614,6952.86998408115,6940.95370631916,6929.05785144384,6917.18238445313,6905.32727040494,6893.4924744171,0.0191934871765698
"Burkina Faso",18557,18664.9991975797,18773.6269356928,18882.8868723591,18992.7826868874,19103.31808,19209.0434996771,19315.3540462059,19422.252957913,19529.7434910471,19637.8289198784,19741.5541140435,19845.8271750808,19950.6509967722,20056.0284881845,20161.96257375,20263.8740814953,20366.3007154527,20469.2450794011,20572.7097902803,20676.6974782578,20776.5074395026,20876.7992005306,20977.575087072,21078.8374360835,21180.5885958029,21277.4678847092,21374.7902961744,21472.5578570261,21570.7726033623,21669.4365805941,21762.4204797716,21855.8033743486,21949.5869764209,22043.7730054306,22138.3631881981,0.000366660414790839
"Burundi",9070,9100.89885473277,9131.90297288602,9163.01271306164,9194.22843508318,9225.5505,9251.42105109253,9277.36414912022,9303.37999752124,9329.46880030424,9355.63076204999,9377.40265802604,9399.22522032982,9421.09856686915,9443.02281582626,9464.99808565836,9484.62266418222,9504.28793199928,9523.99397347409,9543.7408731461,9563.52871573006,9582.01039098326,9600.52778237537,9619.08095892843,9637.66998979784,9656.29494427264,9673.07708818183,9689.88839859388,9706.72892619868,9723.59872177421,9740.4978361867,9754.58077652726,9768.68407816885,9782.80777055011,9796.95188315223,9811.11644549906,0.000324220933282735
"Cambodia",14834,14867.5801388591,14901.2362940136,14934.9686375437,14968.7773419191,15002.66258,15031.8043397174,15061.0027055309,15090.2577873943,15119.5696954752,15148.938540155,15172.9190130423,15196.9374465484,15220.9939007641,15245.0884358755,15269.2211121638,15288.2297136704,15307.2619789204,15326.3179373728,15345.3976185231,15364.5010519037,15379.6512716136,15394.8164302504,15409.9965425445,15425.1916232412,15440.4016871001,15452.1801701908,15463.9676383239,15475.7640983535,15487.569557139,15499.3840215449,15507.5900013417,15515.8003257051,15524.0149969351,15532.2340173332,15540.457389202,0.00917789504245589
"Cameroon",21363,21448.0287951079,21533.3960209604,21619.1030245761,21705.1511583351,21791.54178,21871.1079152998,21950.9645656053,22031.1127916565,22111.5536580661,22192.2882333342,22268.0222644921,22344.0147477489,22420.2665651057,22496.7786015733,22573.5517451829,22646.2206716593,22719.1235344225,22792.2610865617,22865.6340835906,22939.2432834548,23008.1957820715,23077.355543282,23146.7231900919,23216.2993473793,23286.0846419007,23350.4630017521,23415.0193465797,23479.7541684531,23544.6679608028,23609.7612184231,23669.0536980266,23728.4950820644,23788.0857444883,23847.8260601892,23907.7164049996,0.00559597747058103
"Canada",35312,35371.5467373547,35431.193888561,35490.9416229472,35550.7901101269,35610.73952,35664.0668950387,35717.4741282598,35770.9613392514,35824.5286477809,35878.1761737952,35924.3400713529,35970.5633672877,36016.8461380265,36063.1884600948,36109.5904101162,36148.1452525397,36186.7412606441,36225.3784783827,36264.0569497557,36302.7767188103,36336.1139891181,36369.4818734366,36402.8803998789,36436.309596584,36469.7694917168,36500.3527612657,36530.9616777104,36561.5962625581,36592.2565373342,36622.942523582,36652.4131468247,36681.9074851918,36711.4255577668,36740.9673836487,36770.532981952,8.17307016550151e-06
